Disease,Diagnosis 1,Diagnosis 2,Diagnosis 3
Apple___Apple_scab,liquid copper soap,Bonide Sulfur Plant Fungicide,Orchard Spray
Apple___Black_rot,Captan,lime sulfur,Thiophanate-Methyl
Apple___Cedar_apple_rust,Immunox,Captan,Chlorothalonil
Apple___healthy,No Pesticide,No Pesticide,No Pesticide
Blueberry___healthy,No Pesticide,No Pesticide,No Pesticide
Cherry_(including_sour)___Powdery_mildew,Green Cure Fungicide,Sierra Natural Science SNS 244 Fungicide,lime sulfur
Cherry_(including_sour)___healthy,No Pesticide,No Pesticide,No Pesticide
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,"
Headline EC",Quilt,Proline 480 SC
Corn_(maize)___Common_rust_,lime sulfur,Orchard Spray,Organic Pesticides
Corn_(maize)___Northern_Leaf_Blight,foliar fungicides,Bonide Sulfur Plant Fungicide,Organic Pesticides
Corn_(maize)___healthy,No Pesticide,No Pesticide,No Pesticide
Grape___Black_rot,Sovran 50WG,Flint 50WG,Pristine 38WDG
Grape___Esca_(Black_Measles),sodium arsenite,Dinitro-orthocresol,Fosetyl Al foliar
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),lime sulfur,,
Grape___healthy,No Pesticide,No Pesticide,No Pesticide
Orange___Haunglongbing_(Citrus_greening),Benzylpenicillin,DBNPA,
Peach___Bacterial_spot, dodine 65 WP,Captan 50 WP, Mycoshield 
Peach___healthy,No Pesticide,No Pesticide,No Pesticide
"Pepper,_bell___Bacterial_spot",Cultural Control,Cultural Control,Cultural Control
"Pepper,_bell___healthy",No Pesticide,No Pesticide,No Pesticide
Potato___Early_blight,copper and pyrethrins,Serenade Garden,Cultural Control
Potato___Late_blight,"Zampro (ametoctradin + dimethomorph, BASF)","Ranman (cyazofamid, FMC)","Revus Top (mandipropamid + difenoconazole, Syngenta)"
Potato___healthy,No Pesticide,No Pesticide,No Pesticide
Raspberry___healthy,No Pesticide,No Pesticide,No Pesticide
Soybean___healthy,No Pesticide,No Pesticide,No Pesticide
Squash___Powdery_mildew,Baking Soda (sodium bicarbonate),Potassium bicarbonate,lime Sulfur
Strawberry___Leaf_scorch,Pristine (pyraclostrobin and boscalid),Cabrio (pyraclostrobin),Abound (azoxystrobin)
Strawberry___healthy,No Pesticide,No Pesticide,No Pesticide
Tomato___Bacterial_spot,Copper bactericides ,Actigard,Bacteriophages
Tomato___Early_blight,copper and pyrethrins,Serenade Garden,"Revus Top (mandipropamid + difenoconazole, Syngenta)"
Tomato___Late_blight,"Zampro (ametoctradin + dimethomorph, BASF)","Ranman (cyazofamid, FMC)","Revus Top (mandipropamid + difenoconazole, Syngenta)"
Tomato___Leaf_Mold,chlorothalonil,maneb,mancozeb
Tomato___Septoria_leaf_spot,Copper bactericides,"Ranman (cyazofamid, FMC)",lime sulfur
Tomato___Spider_mites Two-spotted_spider_mite,abamectin,bifenazate, hexythiazox
Tomato___Target_Spot,Copper bactericides,Cultural Control,sodium arsenite
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Dinotefuran,imidacloprid,thiamethoxam
Tomato___Tomato_mosaic_virus,No Chemical Option,,
Tomato___healthy,No Pesticide,No Pesticide,No Pesticide
